Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SIF,"SIFCO Industries, Inc. Common Stock",$14.36,0.19,1.341%,89,249,238,"",,,"",""
PMI,"Picard Medical, Inc. Common Stock",$1.15,-0.01,-0.862%,84,756,352,"",,,"",""
XTNT,"Xtant Medical Holdings, Inc. Common Stock",$0.5782,0.0034,0.592%,80,950,452,"",,,"",""
MAIA,"MAIA Biotechnology, Inc. Common Stock",$2.18,-0.14,-6.034%,80,730,429,"",,,"",""
GLV,"Clough Global Dividend and Income Fund Common Shares of beneficial interest",$6.30,-0.015,-0.238%,80,070,373,"",,,"",""
FSP,"Franklin Street Properties Corp. Common Stock",$0.7714,0.0553,7.722%,79,986,728,"",,,"",""
MI,"NFT Limited Class A Ordinary Share",$5.35,0.2301,4.494%,76,603,494,"",,,"",""
IOR,"Income Opportunity Realty Investors, Inc. Common Stock",$18.80,UNCH,--,76,444,146,"",,,"",""
CEV,"Eaton Vance California Municipal Income Trust Shares of Beneficial Interest",$10.614,-0.016,-0.151%,74,654,365,"",,,"",""
PTHS,"Pelthos Therapeutics Inc. Common Stock",$23.00,UNCH,--,74,417,489,"",,,"",""
DIT,"AMCON Distributing Company Common Stock",$112.66,UNCH,--,73,308,876,"",,,"",""
INDO,"Indonesia Energy Corporation Limited Ordinary Shares",$4.81,0.39,8.824%,72,089,750,"",,,"",""
GPUS,"Hyperscale Data, Inc. Common Stock",$0.1864,-0.0074,-3.818%,71,725,265,"",,,"",""
XPL,"Solitario Resources Corp. Common Stock",$0.7875,0.0275,3.618%,71,584,793,"",,,"",""
ZONE,"CleanCore Solutions Inc. Class B Common Stock",$0.3293,-0.0091,-2.689%,69,336,166,"",,,"",""
FSI,"Flexible Solutions International Inc. Common Stock (CDA)",$5.41,0.05,0.933%,68,909,864,"",,,"",""
BATL,"Battalion Oil Corporation Common Stock",$4.15,0.06,1.467%,68,294,736,"",,,"",""
MHH,"Mastech Digital, Inc Common Stock",$5.81,0.11,1.93%,67,961,493,"",,,"",""
