Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ITUB,"Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)",$9.16,-0.12,-1.293%,104,036,282,564,"",,,"",""
TT,"Trane Technologies plc",$465.27,4.82,1.047%,102,979,095,439,"",,,"",""
UPS,"United Parcel Service, Inc. Common Stock",$119.24,1.17,0.991%,101,161,498,825,"",,,"",""
HWM,"Howmet Aerospace Inc. Common Stock",$250.21,5.42,2.214%,100,599,998,575,"",,,"",""
BMO,"Bank Of Montreal Common Stock",$141.02,0.90,0.642%,99,969,878,853,"",,,"",""
CVS,"CVS Health Corporation Common Stock",$78.48,0.55,0.706%,99,843,124,224,"",,,"",""
NOC,"Northrop Grumman Corporation Common Stock",$702.57,7.51,1.08%,99,709,873,266,"",,,"",""
DUK,"Duke Energy Corporation (Holding Company) Common Stock",$128.20,2.09,1.657%,99,696,168,917,"",,,"",""
BP,"BP p.l.c. Common Stock",$37.66,0.47,1.264%,98,244,411,959,"",,,"",""
PBR,"Petroleo Brasileiro S.A. Petrobras ADS",$15.19,-0.06,-0.393%,97,889,925,327,"",,,"",""
BX,"Blackstone Inc. Common Stock",$129.86,0.09,0.069%,95,895,230,108,"",,,"",""
WM,"Waste Management, Inc. Common Stock",$234.52,3.51,1.519%,94,590,307,360,"",,,"",""
SPOT,"Spotify Technology S.A. Ordinary Shares",$458.34,12.55,2.815%,94,341,280,425,"",,,"",""
GD,"General Dynamics Corporation Common Stock",$347.64,6.89,2.022%,93,998,295,819,"",,,"",""
BNS,"Bank Nova Scotia Halifax Pfd 3 Ordinary Shares",$75.70,-0.14,-0.185%,93,987,606,000,"",,,"",""
NKE,"Nike, Inc. Common Stock",$63.13,2.03,3.322%,93,456,604,168,"",,,"",""
RACE,"Ferrari N.V. Common Shares",$379.08,-12.13,-3.101%,91,880,350,492,"",,,"",""
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",$92.40,1.18,1.294%,91,689,349,475,"",,,"",""
SHW,"Sherwin-Williams Company (The) Common Stock",$368.89,-3.71,-0.996%,91,445,438,011,"",,,"",""
MMM,"3M Company Common Stock",$171.82,-2.79,-1.598%,91,275,087,747,"",,,"",""
